සෙල්ලිපි අංකය,අක්ෂර පරිවර්තනය,පරිවර්තනය
991,991 [5] අචිරිය-කණගුතශ ලෙණෙ,ආචාර්ය කණ්හගුත්තගේ ලෙණ.
992,992 [6] [පරු]මක-නගශ ලෙණෙ,ප්‍රමුඛ නාගගේ ලෙණ.
993,993 [7] ............ අති-අදි(ක) .............,.............. හස්ති අධ්‍යක්ෂක .............
994,994 [1] දෙවනපිය-මහරඣහ ගමණි-අබයහ ඣිත අබි-අනුරිදිය පරුමක-රකි-ඣය ලෙණෙ,"දෙවියන්ට ප්‍රිය වූ මහරජ ගාමණී අභයගේ දියණිය වන අනුරාධි (අබි) කුමරිය, ප්‍රමුඛ රකිගේ භාර්යාවගේ ලෙණ."
995,995 [2] බත-කශබහ දො ලෙණනි අගත-අනගත චතු-දිශ-ශගශ,ප්‍රධානි කස්සපගේ ලෙණ් ද්විත්වය පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
996,996 [3] දමරුචි-තෙරහ ලෙණෙ අගත-අනගත චතු-දිශ-ශගශ පදිඨපිතෙ,ධම්මරුචි තෙරුණ්ගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයා උදෙසා පිහිටුවී.
997,997 [4] [මි]නමතහ ලෙණෙ,මීන ඇමතිගේ ලෙණ.
998,998 [5] (1) පරුමක-මහශුමනශ ලෙණෙ(2) බත-චුඩි-තිශහ ලෙණෙ ශගශ,ප්‍රමුඛ මහාසුමනගේ ලෙණ ; ප්‍රධානි චූළ තිස්සගේ ලෙණ සංඝයාට [දෙන ලදී].
999,999 [6] බත-තිශහ ශත ..............,"ප්‍රධානි තිස්සගේ, සාතගේ ............."
1000,1000 [7] පරුමක ............ [පු]ත පරුමක-රකිය (ලෙණෙ) ශගශ නි[යතෙ],ප්‍රමුඛ ............... පුත් වන ප්‍රමුඛ රකිගේ ලෙණ සංඝයාට පවරා දෙන ලදී.
1001,1001 [8] බත-ශිවගුතහ ගමික-වෙපුලි-ඣිත ........... ය,"ප්‍රධානි සිවගුත්තගේ, ගම් ප්‍රධානි වෙපුලිගේ දියණිය ............"
1002,1002 [9] [පු]ර-කමට-පරුමක-මටිකවිලිපි-ශුමනහ පුත පරුමක-පුඩහ,නගර කාර්මික මටකවිලිපි හි සුමනගේ පුත් වන ප්‍රමුඛ පුණ්ඩගේ [ලෙන].
1003,1003 [10] බමණ-වශකණි-පුත ශොමදෙවශ ච ග ............,බ්‍රාහ්මණ වසකණිගේ පුත් වන සොමදෙවගේ සහ ............... [ලෙන].
1004,1004 [11] (1) පරුමක-පඩිතශ ලෙණෙ(2) ශගශ,ප්‍රමුඛ පණ්ඩිතගේ ලෙණ සංඝයාට [දෙන ලදී].
1005,1005 [12] ගපති-නට-චුඩහ ගප[ත]න ශමුදය නට-චලුය ඣිත,"ගෘහපති නළු, චූඩගේ ගෘහපතිනි සමුද්දාගේ [ලෙන], නළු චලුගේ දියණිය."
1006,1006 [13] (1) උපශක-ශතශ ලෙණෙ(2) ශගිකෙ,උපාසක සාතගේ ලෙණ සංඝයාට අයත් වෙයි.
1007,1007 [14] පරුමක-නග-ඣිතය උපශික-තිශය ලෙණෙ ශගශ,ප්‍රමුඛ නාගගේ දියණිය වන උපාසිකා තිස්සාගේ ලෙණ සංඝයාට [දෙන ලදී].
1008,1008 [15] පරුමක-තිශ-පුත පරුමක-නගහ ලෙණෙ අගත-අනගත චතු-දිශ-ශගශ,ප්‍රමුඛ තිස්සගේ පුත් වන ප්‍රමුඛ නාගගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
1009,1009 [16] (1) පරුමක-දරක-තිශහ ඣය පරුමක-ශාල-ඣිතය උපශික-ගුතය ලෙණෙ(2) චතු-දිශ-ශගශ,ප්‍රමුඛ දාරක තිස්සගේ භාර්යාව වන ප්‍රමුඛ සාලගේ දියණිය වූ උපාසිකා ගුත්තාගේ ලෙණ සතරදිග සංඝයාට [දෙන ලදී].
1010,1010 [17] (1) ශොබිකන්-අග ක(මි)න මරුමකන නට-චුලහ ලෙණෙ අගත-අනගත චතු-දිශ-ශගශ(2) නට-චුලහ ඣිත නට-දම-(ඣය)ඣ ශමුදය,නගර ශෝබිනිය කමිනාගේ මුණුපුරු චූල නම් නළුවාගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතර්දෙස සංඝයාට [දෙන ලදී]. නළු චූලගේ දියණිය වන නළු ධම්මගේ භාර්යාව වන සමුද්දාගේ.
1011,1011 [18] බරත-තිශහ ලෙණෙ නතිකන ශදි ශපතිකෙ,"ප්‍රධානි තිස්සගේ ලෙණ, නෑදෑයන් සමඟ සම දීමනාව."
1012,1012 [19] (1) බත-තිශබුතිය ලෙණෙ මහ-ලෙණෙ(2) අනොතත නම ලෙණෙ අගත-අනගත චතු-දිශ-ශගශ (පළමු පෙළ වමේ සිට දකුණට ලියා ඇත),"ප්‍රධානි තිස්සභූතිගේ ලෙණ - මහලෙණ, අනොතත්ත නම් ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී]."
1013,1013[ 20] (1) චදකෙ-ලෙණෙ චදක-තුබෙ බත-තිශබුතිය ප[රච]ව-ගමෙ ............. ච මඣිමහ ච(2) ශෙනපිතිය පුත පදුමහ,"චන්දක නම් ලෙණ සහ චන්දක නම් ස්තූපය, ප්‍රධානි තිස්සභූති ගේ ............. පරචවගම හි ............ මජ්ඣිමගේ සහ සේනාපතිගේ පුත් වන පදුමගේ."
1014,1014 [21] බත-තිශබුතිය ලෙණෙ,ප්‍රධානි තිස්සභූතිගේ ලෙණ.
1015,1015 [22] (1) පරුමක-චුඩතිශ-පුතහ(2) පරුමක-තිශහ ලෙණෙ(3) ශගශ,ප්‍රමුඛ චූළතිස්සගේ පුත් වන ප්‍රමුඛ තිස්සගේ ලෙණ සංඝයාට [දෙන ලදී].
1016,1016 [23] බත-ශුමනහ ලෙණෙ බතික-ශලහ දිනෙ ශගශ,ප්‍රධානි සුමනගේ ලෙණ සහෝදර සාල විසින් සංඝයාට [දෙන ලදී].
1017,1017 [24] කණිකණටිය-ගමික-තිශ-පුත ගමික-දරක-තිශහ ලෙණෙ අගත-අනගත චතු-දිශ-ශගශ,කණිකණටිය හි ගම් ප්‍රධානි තිස්සගේ පුත් වන ගම් ප්‍රධානි දාරක තිස්සගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
1018,1018 [1] දෙවනපිය-මහරඣ ගමණි-අබයස පුත තිසයශ ලෙණෙ ගදමදනෙ අගත-අනගත චතු-දිශ-ශගශ (සංකේත අංක 2 සහ 6 පෙළට ඉහළින් දක්වා ඇත).,දෙවියන්ට ප්‍රිය වූ මහරජ ගාමණී අභයගේ පුත් වන තිස්ස කුමරුගේ ගන්ධමාදන [නම්] ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
1019,1019 [2] [දෙවනපිය-මහර]ඣ ග[ම]ණි-අබයස පුත තිසයස ලෙණෙ ශිහපණෙ අගත-අනග-චතු-දිශ ශගශ (සංකේත අංක 2 සහ 6 පෙළට ඉහලින් දක්වා ඇත).,තිස්ස කුමරුගේ සිංහඵාණ [නම්] ලෙණ (ඉතිරි කොටස අංක 1018 ලිපිය හා සමාන වෙයි).
1020,1020 [3] දෙවනපිය-මහරඣ ගමණි අබයස පුත තිසයස ලෙණෙ චුඩ-සුදශනෙ අගත-අනගත-චතු-දිශ-ශගශ (සංකේත අංක 2 සහ 6 පෙළට ඉහලින් දක්වා ඇත).,"තිස්ස කුමරුගේ චූළ-සුදස්සන [නම්] ලෙණ, ආදී වශයෙන්"
1021,1021 [4] දෙවනපිය-මහරජ ගමණි-අබයස පුත තිසයස ලෙණෙ තිපණගහෙ අගත-අනගත-චතු-දිශ-ශගශ (සංකේත අංක 2 සහ 6 පෙළට ඉහලින් දක්වා ඇත).,"තිස්ස කුමරුගේ පණගහ [නම්] ලෙණ, ආදී වශයෙන්"
1022,1022 [5] දෙවනපිය-මහරජ ගාමණි-අබයස පුත තිසයස මහලෙණ අගතානාගත-චාතු-දි[ස]-සඝස (සංකේත අංක 2 සහ 6 පෙළට ඉහලින් දක්වා ඇත).,"තිස්ස කුමරුගේ මහලෙණ, ආදී වශයෙන්."
1023,1023 [6] දෙවනපිය-මහරජ ගාමණි-අබයස පුත තිසයස ලෙණෙ මහශුදසනෙ අගත-අනගත-චතු-දිශ-ශගශ (සංකේත අංක 2 සහ 6 පෙළට ඉහලින් දක්වා ඇත).,"තිස්ස කුමරුගේ මහා-සුදස්සන [නම්] ලෙණ, ආදී වශයෙන්."
1024,1024 [7] දෙවනපිය-මහරජශ ගමණි-අබයස පුත තිශයස ලෙණෙ ශිතගුහෙ අගත-අනගත-චතු-දිශ-ශගශ (සංකේත අංක 2 සහ 6 පෙළට පහලින් දක්වා ඇත).,"තිස්ස කුමරුගේ සීතගුහා [නම්] ලෙණ, ආදී වශයෙන්."
1025,1025 [8] දෙවනපිය-[ම]හරජ ගමණි-අබ[ය] පුත තිශයහ ලෙණෙ කෙලශෙ අගත-[අනගත-චතු]-දිශ-ශගශ (සංකේත අංක 2 සහ 6 පෙළට ඉහලින් දක්වා ඇත).,"තිස්ස කුමරුගේ කෙලාස [නම්] ලෙණ, ආදී වශයෙන්."
1026,1026 [9] දෙවනපිය-මහරජ ගමණි-අබයස පුත තිසයස ලෙණෙ පියදසනෙ අගත-අනගත-චතු-දිශ-ශගශ (සංකේත අංක 2 සහ 6 පෙළට ඉහලින් දක්වා ඇත).,"තිස්ස කුමරුගේ පියදස්සන [නම්] ලෙණ,  ආදී වශයෙන්."
1027,1027 [10] දෙවනපිය-මහරඣ ගමණි-අබයශ පුත තිශයශ ලෙණෙ තිපණගහෙ අගත-අනගත-චතු-දිසික-ශඝශ (සංකේත අංක 2 සහ 6 පෙළට පහළින් දක්වා ඇත).,"තිස්ස කුමරුගේ ලෙණ, ආදී වශයෙන්."
1028,1028 [11] මහරඣහ පුත තිශයහ බරියන ලෙණෙ සවතොභදෙ අගත-අනගත-චතු-දිශික-ශඝශ,මහරජුගේ පුත් වන තිස්ස කුමරුගේ භාර්යාවන්ගේ සවතොභද [නම්] ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
1029,1029 [12] පරුමක-දතහ ලෙණෙ දෙවරමණ ශගශ,ප්‍රමුඛ දත්තගේ දෙව‍රමණ [නම්] ලෙණ සංඝයාට [දෙන ලදී].
1030,1030 [13] පරුමක තිශ ...........,ප්‍රමුඛ තිස්ස............
1031,1031 උපශක-ශුමනහ ලෙණෙ පටිබනකුටෙ ශගශ,උපාසක සුමනගේ පටිභානකූට [නම්] ලෙණ සංඝයාට [දෙන ලදී].
1032,1032 ගපති-මුලගුතශ ලෙණෙ,ගෘහපති මූලගුත්තගේ ලෙණ.
1033,1033 මණිකර-නග ඉහ ............,මැණික්කරු නාග මෙහි ............
1034,1034 පරුමක-මහගුතහ ලෙණෙ,ප්‍රමුඛ මහාගුත්තගේ ලෙණ.
1035,1035 [1] මහරඣහ පණිත-බඩකරික පරුමක-ශුමනහ,මහරජු පත්කළ භාණ්ඩාගාරික සුමනගේ [ලෙන].
1036,1036 [2] පරුමක පුනශුගුතහ ලෙණෙ,ප්‍රමුඛ පුනබ්බාසුගුත්තගේ ලෙණ.
1037,1037 [3] බම-නගර-බොඣික පරුමක-රොණහ ලෙණෙ,බම නගරය භුක්තිවිඳින්නා වූ ප්‍රමුඛ රොහණගේ ලෙණ.
1038,1038 [4] ගපති-මුල-පුතහ උපශක-ශොණහ ලෙණෙ,ගෘහපති මූලගේ පුත් වන උපාසක සොණගේ ලෙණ.
1039,1039 [5] උපශක-මහනගහ ච උපශක-තිශහ ච ලෙ[ණෙ].,උපාසක මහානාගගේ සහ උපාසක තිස්සගේ ද ලෙණ.
1040,1040 [6] නග-තෙරහ ලෙණෙ,නාග තෙරුණ්ගේ ලෙණ.
1041,1041 [7] ගමික-මඣිමහ පුත ගමික-මිතහ ලෙණෙ,ගම් ප්‍රධානි මජ්ඣිමගේ පුත් වන ගම් ප්‍රධානි මිත්තගේ ලෙණ.
1042,1042 [8] (1) පරුමක-චුඩශුමනහ ලෙණෙ(2) ශගශ,ප්‍රමුඛ චූළසුමනගේ ලෙණ සංඝයාට [දෙන ලදී].
1043,1043 [1] පරුමක-දරක-තිශහ ලෙණෙ,ප්‍රමුඛ දාරක-තිස්සගේ ලෙණ.
1044,1044 [2] පරුමක-ශිවහ ලෙණෙ .............,ප්‍රමුඛ සිවගේ ලෙණ ..............
1045,1045 [3] ශගශ බමණ-මෙගලි-පුත පරුමක-මඣිම-පුත-දතහ ලෙණෙ,"සංඝයාට දෙන ලද්දේ, බ්‍රාහ්මණ මොග්ගලිගේ පුත් වන ප්‍රමුඛ මජ්ඣිමගේ පුතත් වන දත්තගේ ලෙණ වෙයි."
1046,1046 [4] .............කන ............ (උපශික)-ශොණය ලෙණෙ,.................... උපාසිකා සොණාගේ ලෙණ.
1047,1047 [5] පරුමක-අමරහ ලෙණෙ,ප්‍රමුඛ අමරගේ ලෙණ.
1048,1048 පරුමක-ශමුදහ මලුහ ච,ප්‍රමුඛ සමුද්දගේ සහ මලුගේ.
1049,1049 [1] (1) බරත-මහතිශයෙ කටෙ(2) පරුමක-නගගමිය-දුතකෙ,ප්‍රධානි මහාතිස්ස සඳහා නගගමියහි දුතක විසින් කළ [මෙය].
1049a,1049a [2] (ක)බර [දි]නශ ශිල-ප[දෙ] එකෙ,ලෝකුරුකරු දින්නගේ එක් ශිලා පාසාදය.
1049b,1049b [3] බරත-මහතිශ,ප්‍රධානි මහාතිස්ස.
1050,1050 පරුමක-බ .............. පුත පරුමක-තිශහ විහර අගත-අනගත-චතු-දිශ-ශගශ,ප්‍රමුඛ බ.............. ගේ පුත් වන ප්‍රමුඛ තිස්සගේ විහාරය පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට දෙන ලදී.
1051,1051 [1] පරුමක-අබය-පුත පරුමක-තිශහ වපි අචගිරික-තිශ-පවතහි අගත-අනගත-චතු-දිශ-ශගශ දිනෙ (සංකේත අංක 16c සහ 40) දෙවනපි-මහරඣ ගමණි-අබයෙ නියතෙ අච-නගරක ච [තවි]රිකිය-නගරක ච [|] පරුමක-අබය-පුත පරුමක-තිශෙ නියතපිතෙ රඣහ අගත-අනගත චතු-දිශ-ශගශ,ප්‍රමුඛ අබයගේ පුත් වන ප්‍රමුඛ තිස්සගේ වැව අච්චගිරික-තිස්ස-පබ්බත විහාරයේ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට දෙන ලදී. ප්‍රමුඛ අභයගේ පුත් වන ප්‍රමුඛ තිස්ස [මෙම] පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට රජු විසින් පවරා දෙන ලදී.
1052,1052 [2] පරුමක-අබය-පුත පරුමක-තිශෙ නියතෙ ඉම වපි අචගිරික-තිශ-පවතහි අගත-අනගත-චතු-දිශ ශගශ [(සංකේත අංක 16c සහ 40) දෙවන]පිය-මහරඣෙ ගමිණි-අබයෙ නියතෙ අච-නගරක ච තවිරිකිය-නගරක ච අචගිරික-තිශ-පවතහි අගත-අනගත චතු-දිශ-ශගශ [|] පරුමක-අබය-පුත පරුමක-තිශහ විශර නියතපිතෙ,"ප්‍රමුඛ අභයගේ පුත් වන ප්‍රමුඛ තිස්ස මෙම වැව අච්චගිරික තිස්ස-පබ්බත විහාරයෙහි පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට පවරා දෙන ලදී. දෙවියන්ට ප්‍රිය වූ මහරජ ගාමණී අභය විසින් අච්ච-නගරක සහ තවිරිකිය-නගරක, අච්චගිරික-තිස්ස-පබ්බතහි පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට පවරා දෙන ලදී. ප්‍රමුඛ අභයගේ පුත් වන විසින් වෙහෙර [සංඝයාට] පවරා දෙන ලදී."
1053,1053 [1] (1) පරුමක-අබය-පුත පරුමකෙ-තිශහ ලෙණෙ අගත-අනගත-චතු- (සංකේත අංක 16c සහ 40). (2) [දිශ]-ශගශ,ප්‍රමුඛ අබයගේ පුත් වන ප්‍රමුඛ තිස්සගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
1054,1054 [2] (1) පරුමක-අබය-පුත පර[මු]ක-තිශ දුත-[න]විකහ ලෙණෙ(2) (සංකේත අංක 16c සහ 40) ශගශ,"ප්‍රමුඛ අභයගේ පුත් වන ප්‍රමුඛ තිස්ස, දූත නාවිකගේ ලෙණ සංඝයාට [දෙන ලදී]."
1055,1055 [3] (16c සහ 40 යන සංකේත ද්විත්වය) පරුමක-අබය පුත පරුමක-තිශහ දු(ත)-කණ[ය]තහ [චො]ඩි,ප්‍රමුඛ අභයගේ පුත් වන දූතයෙකු වූ ප්‍රමුඛ තිස්සගේ හැළිය.
1056,1056 [4] (1) දමගුතහ(2) ශගශ,ධම්මගුත්තගේ [ලෙන] සංඝයාට [දෙන ලදී].
1057,1057 [5] ගොදතහ ලෙණෙ ශගශ,ගෝදත්තගේ ලෙණ සංඝයාට [දෙන ලදී].
1058,1058 [6] දතහ ලෙණෙ ශගශ,දත්තගේ ලෙණ සංඝයාට [දෙන ලදී].
1059,1059 [1] (1) මහරඣශ දෙවනපියශ ගමිණි-තිශශ වෙඣ බමණ-ගොබුතිය ලෙණෙ ශගශ(2) ශිවබුතිය ශදය ලෙණෙ ශගශ,මහරජ ගාමණී තිස්සගේ වෛද්‍ය බ්‍රාහ්මණ ගොබූහ්තිගේ ලෙණ සංඝයාට [දෙන ලදී]. සිවභූතිගේ සම දීමනාව ද සංඝයාට [දෙන ලදී].
1060,1060 [2] මහරඣශ දෙවනපියහ අචිරිය බමණ-ගොබුතිය ලෙණෙ,දෙවියන්ට ප්‍රියවූ මහරජුගේ ආචාර්ය බ්‍රාහ්මණ ගොභූතිගේ ලෙණ.
1061,1061 [3] (1) .............. බණක යශදෙවහ ලෙණෙ අගත-අනගත චතු-දිශ(2) ශගශ,................ දේශක යසදෙවගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
1062,1062 [4] (1) නුග-තෙරහ බත-ශුමනහ(2) කුමරහ,නුග (නිග්‍රෝධ) තෙරුණ්ගේ ; ප්‍රධානි සුමනගේ ; කුමාරගේ.
1063,1063 [5] නුග-තෙරහ,නුග තෙරුණ්ගේ.
1064,1064 [6] උපරඣ-අමතිහ අය-මහශෙනහ,උපරජගේ අමාත්‍ය මහාසේන කුමරුගේ.
1065,1065 [7] බමණ-පුශක-පුතහ පුනශුගුතහ ලෙණෙ,බ්‍රාහ්මණ ඵුස්සකගේ පුත් වන පුනභසුගුත්තගේ ලෙණ.
1066,1066 [8] බුදරකිත-තෙරහ ලෙණෙ ම[හ] .............,"බුද්ධරක්ඛිත තෙරුණ්ගේ ලෙණ, [නම්] ම................."
1067,1067 [9] අශිය ශිවබුතිය ලෙණෙ,ආයුෂ්මත් සිවභූතිගේ ලෙණ.
1068,1068 [10] පුශ-තෙරහ කරිතෙ ශගශ,ඵුස්ස තෙරුණ් කරවන ලද [ලෙන] සංඝයාට [දෙන ලදී].
1069,1069 [1] බත-ශිවබුති ච පරුමක-[ශු]මන ගුතහ ච ශදය ලෙණෙ,ප්‍රධානි සිවභූති ගේ සහ ප්‍රමුඛ සුමනගුත්තගේ ද සම දීමනාව වූ ලෙණ.
1070,1070 [2] උපශක-ගණක-බුතහ ලෙණෙ ශගශ,උපාසක ගණකාධිකාරී භූතගේ ලෙණ සංඝයාට [දෙන ලදී].
1071,1071 [3] පරුමක-ශුකද-කුලහ ලෙණෙ,ප්‍රමුඛ සුඛදගේ පවුලේ ලෙණ.
1072,1072 [4] දමරකිත-තෙරහ ලෙණෙ ශගශ,ධම්මරක්ඛිත තෙරුණ්ගේ ලෙණ සංඝයාට [දෙන ලදී].
1073,1073 [5] බ[රත]-ඣොතිය[ශ],ස්වාමි ජෝතිගේ.
1074,"1074 [6] අගත-අනගත-ශගශ පරුමක උතරහ ලෙණෙ (සංකේත අංක 43 , 41 සහ 42)පෙළට පහලින්  වමෙහි සිට දකුණට සටහන් කර ඇත. සංකේත අංක 43 සහ 41 අතර ක ඩෙ රි යන බ්‍රාහ්මි අක්ෂර ඇත.",පැමිණියාවූත් නොපැමිණියාවූත් සංඝයාට [දෙන ලද්දේ] ප්‍රමුඛ උත්තරගේ ලෙණ.
1075,1075 [1] බත-ශුමනහ ලෙණෙ,ප්‍රධානි සුමනගේ ලෙණ.
1076,1076 [2] පරුමක-පිල-පුත පරුමක-ශුමනහ ලෙණෙ,ප්‍රමුඛ පිලගේ පුත් වන ප්‍රමුඛ ශුමනගේ ලෙණ.
1077,1077 [3] පරුමක-ශුමහ ඣය උපශික-තිශය ලෙණෙ,ප්‍රමුඛ සුමනගේ භාර්යාව වන උපාසිකා තිස්සාගේ ලෙණ.
1078,1078 [4] වදශ ලෙණෙ,වාදගේ ලෙණ.
1079,1079 [5] දතහ ලෙණෙ,දත්තගේ ලෙණ.
1080,1080 [6] කැඩීගොස් ඇත. 'ලෙණෙ' යව වචනය පමණක් ආරක්ෂා වී ඇත.,
1081,1081 [1] උපශික-කශබිය ලෙණෙ ශගශ,උපාසිකා කස්සපිගේ ලෙණ සංඝයාට [දෙන ලදී].
1082,1082 [2] මහතිශහ ............. (පරු)මක අබය ............,මහාතිස්ස ............. ප්‍රමුඛ අභය ..............
1083,1083 [1] උපශක-මලෙය ලෙණෙ උපශික-තිශය ලෙණෙ ශගශ,උපාසක මාලෙයියගේ ලෙණ සහ උපාසිකා තිස්සාගේ ලෙණ සංඝයාට.
1084,1084 [2] බත-දෙවහ ලෙණෙ,ප්‍රධානි දෙවගේ ලෙණ.
1085,1085 [3] පරුමක-නගහ ලෙණෙ,ප්‍රමුඛ නාගගේ ලෙණ.
1086,1086 [4] (1) උපශික-ශුබගය ශගශ පරුමක ශුමහ,උපාසිකා සුභාගාගේ [ලෙන] සංඝයාට [දෙන ලදී]. [තවද]ප්‍රමුඛ සුම්මගේ.
1087,1087 [5] චුඩතිශහ ලෙණෙ ශගශ,චූලතිස්සගේ ලෙණ සංඝයාට [දෙන ලදී].
1088,1088 [1] (1) පරුමක-ශුමන-පුතහ චුඩ-ශුමනහ ලෙණෙ(2) බත-තිශගුතහ ච ලෙණෙ,ප්‍රමුඛ සුමනගේ පුත් වන චූළ සුමනගේ ලෙණ ; ප්‍රධානි තිස්සගුත්තගේ ද ලෙණ.
1089,1089 [2] පරුමක-ශොණගුත-පුත තිශහ ලෙණෙ පරුමක දාරක-තිශහ පුත පරුමක-කුඣ-අබහ ශිල-පශනෙ,ප්‍රමුඛ සොණගුත්තගේ පුත් තිස්සගේ ලෙණ ; ප්‍රමුඛ දාරක තිස්සගේ  පුත් ප්‍රමුඛ ඛුජ්ජ අභයගේ ශිලා ප්‍රසාදය.
1090,1090 [3] ඣිත-තෙරහ මහශුදශනෙ උපශික-තිශය තෙරහ  නග ලෙණෙ,"ජිත තෙරුණ්ගේ මහාසුදස්සන නම් ලෙණ, සහ උපාසිකා තිස්සාගේ, තෙරුණ්ගේ බාල සහෝදරියගේ."
1091,1091 [4] දමගුත-තෙරහ ලෙණෙ,ධම්මගුත්ත තෙරුන්ගේ ලෙණ.
1092,1092 [5] නකර-වුදික-බරණිගුතහ ලෙණෙ අගත-අනගත-චතු-ශගශ,නගර අලංකරණ ශිල්පී භරණීගුත්තගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
1093,1093 [6] බත-ශොණහ ලෙණෙ,ප්‍රධානි සොණගේ ලෙණ.
1094,1094 [7] ගමික-තිශහ,ගම් ප්‍රධානි තිස්සගේ.
1095,1095 [8] උපශක-උතරහ ලෙණෙ,උපාසක උත්තරගේ ලෙණ.
1096,1096 [9] පරුමකල-ශුමනය ච පරුමක-ශමුදහ චිත-තෙරහ ච ලෙණෙ ශගශ,නායිකා සුමනාගේ සහ ප්‍රමුඛ සමුද්දගේ ද චිත්ත තෙරුන්ගේ ද ලෙණ සංඝයාට [දෙන ලදී].
1097,1097 [10] පරුමක-ශිවහ ච බත-අයිමරහ ච ලෙණෙ,ප්‍රමුඛ සිවගේ ද ප්‍රධානි අයිමරගේ ද ලෙණ.
1098,1098 [11] බත-තිශගුතහ ච බත-ශොණහ ච ලෙණෙ ශගශ නියතෙ,ප්‍රධානි තිස්සගුත්තගේ ද ප්‍රධානි සොණගේ ද ලෙණ සංඝයාට පවරා දෙන ලදී.
1099,1099 [1] (1) අණිකටශ බතුනො අගිබුතිනො දනෙ(2) අගත-අනගත චතු-දිශ ශගශ,අශ්වාරෝහක හමුදා නිලධාරියාගේ බෑයා වන අග්ගිභූතගේ පරිත්‍යාගය පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට දෙන ලදී.
1100,1100 [2] මනොරමේ නම් ලෙනෙහි නම ඇතුලත් වෙයි.,
1101,1101 [3] දකිණ-ලෙණෙ යන ලෙනෙහි නම ඇතුලත් වෙයි.,
1102,1102 බත-මඣිමශ බතික-තිශදතශ දනෙ,ප්‍රධානි මජ්ඣිමගේ සහෝදරයා වන ප්‍රධානි තිස්සදත්තගේ ප්‍රදානය.
1103,1103 [1] මහරඣහ ඣිත මහබිය ලෙණෙ අගත-අනගත චතු-දිශ-ශගශ නියතෙ,මහරජුගේ දියණිය වන මහබිගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට පවරා දෙන ලදී.
1104,1104 [2] පරුමක-ශුමන-පුත පරුමක-ශුමනහ ලෙණෙ අගත-අනගත-චතු-දුශ-ශගශ දිනෙ [මනප]දශනෙ නම,ප්‍රමුඛ සුමනගේ පුත් වන ප්‍රමුඛ සුමනගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට දෙන ලදී. මනාපදස්සන නම්.
1105,1105 (1) නදශ ලිණෙ(2) රම-[ශො]නියගරෙ,"නන්දගේ ලෙණ, රම්ම-සුණ්ණාගාර (නම්)."
1106,1106 [1] ............ ය උපශික ............ ලෙණෙ ශගශ,.............. ගේ උපාසිකා .............. ලෙණ සංඝයාට [දෙන ලදී].
1107,1107 [2] ගමික-උදහ පුතහ මෙළ-නකහ ලෙණෙ චතු-දිශ-ශගශ,ගම් ප්‍රධානි උදගේ පුත් වන මෙළ-නකගේ ලෙණ සතරදෙස සංඝයාට [දෙන ලදී].
1108,1108 [3] පරුමක ගඩහ ............ හොණහ චතු-දිශ-ශගශ,ප්‍රමුඛ ගඩගේ ............. හොණගේ [ලෙන] සතරදෙස සංඝයාට [දෙන ලදී].
1109,1109 [4] (1) බඩකරික-පරුමක-සගහ පුත පරුමක-උතිය විමන-ලෙණෙ(2) චතු-දිසික සගයෙ නියතෙ,භාණ්ඩාගාරික ප්‍රමුඛ සංඝගේ පුත් වන ප්‍රමුඛ උත්තියගේ විමාන (ලෙස භාවිත කරන ලද) සතරදෙස සංඝයාට පවරා දෙන ලදී.
1110,1110 [5] (1) සිධ [|] බඩකරි-සගහ පුතෙ උතිය(2) තිසයහ ඣිත රුවලය(3) චතුදිසක ............,යහපතක් වේවා ! භාණ්ඩාගාරික සංඝගේ පුත් වන උත්තියගේ සහ තිසයගේ දියණිය වන රුවලගේ ලෙණ සතරදෙස (සංඝයාට දෙන ලදී).
